# Density of States
# Energy[eV]  DOS[1/eV]
#-----------------------
     -8.20996191  0.101916848586000E-082
     -8.15471658  0.381519191073951E-078
     -8.09947125  0.105271053434497E-073
     -8.04422593  0.214110719391421E-069
     -7.98898060  0.321012855202384E-065
     -7.93373528  0.354798981186292E-061
     -7.87848995  0.289097253774052E-057
     -7.82324462  0.173675370509741E-053
     -7.76799930  0.769311976864514E-050
     -7.71275397  0.251293729698773E-046
     -7.65750864  0.605382263032927E-043
     -7.60226332  0.107575022324632E-039
     -7.54701799  0.141027782486039E-036
     -7.49177267  0.136427698321028E-033
     -7.43652734  0.974129070281403E-031
     -7.38128201  0.513546278608410E-028
     -7.32603669  0.199963328381197E-025
     -7.27079136  0.575330446323554E-023
     -7.21554604  0.122378260802099E-020
     -7.16030071  0.192564356784089E-018
     -7.10505538  0.224308139872522E-016
     -7.04981006  0.193588979118753E-014
     -6.99456473  0.123913240732070E-012
     -6.93931941  0.588938444744069E-011
     -6.88407408  0.208135456266603E-009
     -6.82882875  0.547865148727172E-008
     -6.77358343  0.107629880499089E-006
     -6.71833810  0.158200360306231E-005
     -6.66309277  0.174526802337295E-004
     -6.60784745  0.145096762055973E-003
     -6.55260212  0.913946785335302E-003
     -6.49735680  0.439325144485176E-002
     -6.44211147  0.162752869797709E-001
     -6.38686614  0.470984366909840E-001
     -6.33162082  0.108443904314773E+000
     -6.27637549  0.203611128795093E+000
     -6.22113017  0.321690179694150E+000
     -6.16588484  0.443730911205674E+000
     -6.11063951  0.555095894526303E+000
     -6.05539419  0.651319406932977E+000
     -6.00014886  0.734950861949759E+000
     -5.94490353  0.809510778801241E+000
     -5.88965821  0.877218438601354E+000
     -5.83441288  0.941008715333956E+000
     -5.77916756  0.100280791936435E+001
     -5.72392223  0.106023333980594E+001
     -5.66867690  0.111311460003858E+001
     -5.61343158  0.116757019930338E+001
     -5.55818625  0.122443169600368E+001
     -5.50294093  0.127546140946353E+001
     -5.44769560  0.131882836902442E+001
     -5.39245027  0.136546757473618E+001
     -5.33720495  0.142275300288461E+001
     -5.28195962  0.147946842153380E+001
     -5.22671430  0.151987664280179E+001
     -5.17146897  0.155224535795976E+001
     -5.11622364  0.160109891283701E+001
     -5.06097832  0.166779693699423E+001
     -5.00573299  0.172664545269239E+001
     -4.95048766  0.176336908116632E+001
     -4.89524234  0.179218559430810E+001
     -4.83999701  0.183484690986165E+001
     -4.78475169  0.190038622968310E+001
     -4.72950636  0.197841923873438E+001
     -4.67426103  0.204191671847465E+001
     -4.61901571  0.207252070311591E+001
     -4.56377038  0.209219263588176E+001
     -4.50852506  0.214685418459339E+001
     -4.45327973  0.224674451330139E+001
     -4.39803440  0.235130376860153E+001
     -4.34278908  0.242482673938254E+001
     -4.28754375  0.247617564332158E+001
     -4.23229842  0.253598691694715E+001
     -4.17705310  0.262742436987607E+001
     -4.12180777  0.276948466532798E+001
     -4.06656245  0.296981354681619E+001
     -4.01131712  0.318694521548600E+001
     -3.95607179  0.333771081914935E+001
     -3.90082647  0.337865360311307E+001
     -3.84558114  0.335002608348585E+001
     -3.79033582  0.331574784564691E+001
     -3.73509049  0.329664415071217E+001
     -3.67984516  0.327866754181552E+001
     -3.62459984  0.324164610968009E+001
     -3.56935451  0.316384856610008E+001
     -3.51410919  0.304209283331085E+001
     -3.45886386  0.291233901620814E+001
     -3.40361853  0.281216909837257E+001
     -3.34837321  0.274166977267581E+001
     -3.29312788  0.269089599675047E+001
     -3.23788255  0.266803229346111E+001
     -3.18263723  0.266625235075784E+001
     -3.12739190  0.262629646243854E+001
     -3.07214658  0.248067463621329E+001
     -3.01690125  0.224863897092012E+001
     -2.96165592  0.204897196670820E+001
     -2.90641060  0.199684919310911E+001
     -2.85116527  0.209188826437620E+001
     -2.79591995  0.220169452950477E+001
     -2.74067462  0.216881625046578E+001
     -2.68542929  0.195092195148652E+001
     -2.63018397  0.164497570628430E+001
     -2.57493864  0.139045715061319E+001
     -2.51969331  0.128020195964429E+001
     -2.46444799  0.131980317889249E+001
     -2.40920266  0.140926690068068E+001
     -2.35395734  0.139688223130693E+001
     -2.29871201  0.120763832564314E+001
     -2.24346668  0.899348559086860E+000
     -2.18822136  0.583674202378943E+000
     -2.13297603  0.343761090351639E+000
     -2.07773071  0.231848441192024E+000
     -2.02248538  0.286150431940684E+000
     -1.96724005  0.509969525287667E+000
     -1.91199473  0.829032105725961E+000
     -1.85674940  0.109667998430589E+001
     -1.80150408  0.119040278083837E+001
     -1.74625875  0.111558318984795E+001
     -1.69101342  0.995676679348424E+000
     -1.63576810  0.978330464973351E+000
     -1.58052277  0.117109392199960E+001
     -1.52527744  0.160260771210543E+001
     -1.47003212  0.216106545482390E+001
     -1.41478679  0.262993825979163E+001
     -1.35954147  0.291798745920604E+001
     -1.30429614  0.321066577236282E+001
     -1.24905081  0.375108035556107E+001
     -1.19380549  0.450111569542608E+001
     -1.13856016  0.513325526525309E+001
     -1.08331484  0.535077332793418E+001
     -1.02806951  0.513564351165297E+001
     -0.97282418  0.467086222882568E+001
     -0.91757886  0.412909212142294E+001
     -0.86233353  0.360778642718863E+001
     -0.80708820  0.317190938303827E+001
     -0.75184288  0.286751301186988E+001
     -0.69659755  0.271060853972268E+001
     -0.64135223  0.266214642910450E+001
     -0.58610690  0.262763997928615E+001
     -0.53086157  0.254996440174002E+001
     -0.47561625  0.247016574905429E+001
     -0.42037092  0.241754875656580E+001
     -0.36512560  0.231481275818350E+001
     -0.30988027  0.209852902148843E+001
     -0.25463494  0.186686697338533E+001
     -0.19938962  0.178469353592075E+001
     -0.14414429  0.185813735649629E+001
     -0.08889897  0.191392625362090E+001
     -0.03365364  0.182967338461348E+001
      0.02159169  0.168905043631039E+001
      0.07683701  0.164538976612278E+001
      0.13208234  0.169945772934109E+001
      0.18732767  0.169754481683891E+001
      0.24257299  0.153895887182697E+001
      0.29781832  0.131704234440399E+001
      0.35306364  0.121652166108392E+001
      0.40830897  0.129989701251589E+001
      0.46355430  0.143801417385688E+001
      0.51879962  0.145533759727207E+001
      0.57404495  0.131946741686416E+001
      0.62929027  0.115863114820672E+001
      0.68453560  0.110440490781842E+001
      0.73978093  0.115885848693225E+001
      0.79502625  0.120865145908041E+001
