# Fourier-transform spectra: 
# sigma: Conductivity
# eps: Dielectric constant
# 1:Energy[eV] 2:Re(sigma_x)[1/fs*V*Angstrom] 3:Re(sigma_y)[1/fs*V*Angstrom] 4:Re(sigma_z)[1/fs*V*Angstrom] 5:Im(sigma_x)[1/fs*V*Angstrom] 6:Im(sigma_y)[1/fs*V*Angstrom] 7:Im(sigma_z)[1/fs*V*Angstrom] 8:Re(eps_x)[none] 9:Re(eps_y)[none] 10:Re(eps_z)[none] 11:Im(eps_x)[none] 12:Im(eps_y)[none] 13:Im(eps_z)[none]
      0.34000000  0.691123107958080E-009  0.414961820126306E-008 -0.155164516570264E-002  0.656489072433080E-008 -0.257725913539909E-008 -0.118756462087571E-001  0.999995654148723E+000  0.100000170610378E+001  0.886148534865394E+001  0.457512298010542E-006  0.274698000582754E-005 -0.102716395571688E+001
      0.35000000  0.551841359604483E-009  0.419057973638842E-008 -0.163949636163003E-002  0.625208910115564E-008 -0.243140063265003E-008 -0.125784577049095E-001  0.999995979469233E+000  0.100000156356074E+001  0.908882845109230E+001  0.354872607976092E-006  0.269483599607281E-005 -0.105431088027900E+001
      0.36000000  0.442393679908295E-009  0.421756002924656E-008 -0.170666654007089E-002  0.594853468851449E-008 -0.229164074562067E-008 -0.132745539439331E-001  0.999996280934962E+000  0.100000143274965E+001  0.929934295596143E+001  0.276587589053175E-006  0.263684770636452E-005 -0.106701972716650E+001
      0.37000000  0.360296366422667E-009  0.423186489169332E-008 -0.175496889331687E-002  0.565658722651330E-008 -0.215911429068147E-008 -0.139623124398758E-001  0.999996559044629E+000  0.100000131340959E+001  0.949340637063508E+001  0.219171678550274E-006  0.257428333490972E-005 -0.106756413330172E+001
      0.38000000  0.302914263204204E-009  0.423487642321268E-008 -0.178632106303165E-002  0.537822020551847E-008 -0.203476128944948E-008 -0.146403880256309E-001  0.999996814473232E+000  0.100000120519174E+001  0.967152072117847E+001  0.179416509010359E-006  0.250832277062795E-005 -0.105804027090252E+001
      0.39000000  0.267513858500150E-009  0.422802660193794E-008 -0.180270733397972E-002  0.511501742063774E-008 -0.191932450064950E-008 -0.153077149206341E-001  0.999997048051438E+000  0.100000110766919E+001  0.983429778171088E+001  0.154386013783101E-006  0.244005367386133E-005 -0.104036778083605E+001
      0.40000000  0.251315014787273E-009  0.421277138359454E-008 -0.180614185861612E-002  0.486817648743524E-008 -0.181335039488038E-008 -0.159635038728703E-001  0.999997260744145E+000  0.100000102034729E+001  0.998244374774556E+001  0.141411497204381E-006  0.237046843077854E-005 -0.101629114602087E+001
      0.41000000  0.251540441632211E-009  0.419056574741245E-008 -0.179863353752772E-002  0.463851892300534E-008 -0.171719340745114E-008 -0.166072346666262E-001  0.999997453628579E+000  0.100000094267422E+001  0.101167436084247E+002  0.138086187107312E-006  0.230046207332646E-005 -0.987381772843063E+000
      0.42000000  0.265462101217032E-009  0.416284009409996E-008 -0.178215312253817E-002  0.442650628520450E-008 -0.163102324947709E-008 -0.172386443648652E-001  0.999997627872271E+000  0.100000087405173E+001  0.102380454655130E+002  0.142258921786901E-006  0.223083122088971E-005 -0.955040966334266E+000
      0.43000000  0.290443829344715E-009  0.413097836027543E-008 -0.175860304179744E-002  0.423226176558537E-008 -0.155483500853539E-008 -0.178577117222468E-001  0.999997784711256E+000  0.100000081384581E+001  0.103472450360420E+002  0.152026736925610E-006  0.216227406806985E-005 -0.920503914974230E+000
      0.44000000  0.323979558954700E-009  0.409629816734349E-008 -0.172979037109771E-002  0.405559654999644E-008 -0.148846172817048E-008 -0.184646382605676E-001  0.999997925428803E+000  0.100000076139719E+001  0.104452705609490E+002  0.165726213931796E-006  0.209539141481613E-005 -0.884844741509709E+000
      0.45000000  0.363726646109585E-009  0.406003327178494E-008 -0.169740329482382E-002  0.389604019612739E-008 -0.143158912105137E-008 -0.190598265419999E-001  0.999998051334974E+000  0.100000071603154E+001  0.105330683243328E+002  0.181923532257878E-006  0.203068871029343E-005 -0.848982625725678E+000
      0.46000000  0.407533917411093E-009  0.402331852938507E-008 -0.166299131527052E-002  0.375287423031686E-008 -0.138377204407241E-008 -0.196438562064364E-001  0.999998163747272E+000  0.100000067706910E+001  0.106115889674959E+002  0.199403236477846E-006  0.196857906020961E-005 -0.813688962641580E+000
      0.47000000  0.453464180163817E-009  0.398717752926259E-008 -0.162794938245928E-002  0.362516813711678E-008 -0.134445234543984E-008 -0.202174583573072E-001  0.999998263972615E+000  0.100000064383389E+001  0.106817747592438E+002  0.217155785665038E-006  0.190938712874788E-005 -0.779595484351483E+000
      0.48000000  0.499811059628247E-009  0.395251299590753E-008 -0.159350602998249E-002  0.351181690443696E-008 -0.131297768389859E-008 -0.207814888854884E-001  0.999998353290833E+000  0.100000061566205E+001  0.107445479594624E+002  0.234363999040424E-006  0.185335385069135E-005 -0.747203245081254E+000
      0.49000000  0.545110148756116E-009  0.392009999999707E-008 -0.156071551762784E-002  0.341157929419394E-008 -0.128862091864691E-008 -0.213369013137511E-001  0.999998432939855E+000  0.100000059190958E+001  0.108008003873307E+002  0.250388548857545E-006  0.180064185672478E-005 -0.716892346491839E+000
      0.50000000  0.588144572368574E-009  0.389058196269914E-008 -0.153045390035041E-002  0.332311603250353E-008 -0.127059967491385E-008 -0.218847197251912E-001  0.999998504102705E+000  0.100000057195915E+001  0.108513842791513E+002  0.264752679808392E-006  0.175134150518572E-005 -0.688932263387535E+000
