# Density of States
# Energy[eV]  DOS[1/eV]
#-----------------------
     14.51610702  0.178827999462272E+000
     14.57050640  0.200957252932509E+000
     14.62490577  0.248685616078194E+000
     14.67930515  0.297378844226643E+000
     14.73370452  0.321591992330537E+000
     14.78810390  0.305766986517959E+000
     14.84250327  0.250564141662205E+000
     14.89690265  0.173351488475688E+000
     14.95130202  0.100012243088903E+000
     15.00570140  0.492802936184787E-001
     15.06010077  0.251688823888255E-001
     15.11450015  0.245597027167749E-001
     15.16889952  0.462608552400519E-001
     15.22329890  0.878558803227076E-001
     15.27769827  0.135076023090520E+000
     15.33209765  0.162596615940972E+000
     15.38649703  0.153398022063804E+000
     15.44089640  0.114947608299724E+000
     15.49529578  0.706431061082431E-001
     15.54969515  0.389044770019332E-001
     15.60409453  0.247100007199452E-001
     15.65849390  0.252138709786259E-001
     15.71289328  0.349051116277344E-001
     15.76729265  0.452331806753492E-001
     15.82169203  0.468148369665953E-001
     15.87609140  0.369302019109679E-001
     15.93049078  0.218923597500922E-001
     15.98489015  0.970681505488595E-002
     16.03928953  0.321374833915657E-002
     16.09368890  0.794003357906378E-003
     16.14808828  0.146348258245111E-003
     16.20248765  0.201205578768373E-004
     16.25688703  0.206314279894377E-005
     16.31128640  0.157764536626705E-006
     16.36568578  0.899569248099524E-008
     16.42008515  0.382435655706278E-009
     16.47448453  0.121208560186586E-010
     16.52888390  0.286359380209782E-012
     16.58328328  0.504248645668183E-014
     16.63768265  0.661737361402843E-016
     16.69208203  0.647123736515812E-018
     16.74648140  0.471524293251535E-020
     16.80088078  0.255971502454629E-022
     16.85528016  0.103515969265090E-024
     16.90967953  0.311824687275561E-027
     16.96407891  0.699619993974773E-030
     17.01847828  0.116903011635335E-032
     17.07287766  0.145467581926093E-035
     17.12727703  0.134787962490285E-038
     17.18167641  0.929928914283051E-042
     17.23607578  0.477676131409154E-045
     17.29047516  0.182673610790657E-048
     17.34487453  0.520057991210214E-052
     17.39927391  0.110214418539963E-055
     17.45367328  0.173865901219276E-059
     17.50807266  0.204155019999263E-063
     17.56247203  0.178425589522051E-067
     17.61687141  0.116061675968245E-071
     17.67127078  0.561874932337448E-076
     17.72567016  0.202439529070240E-080
     17.78006953  0.542803542146159E-085
     17.83446891  0.108310264639411E-089
     17.88886828  0.160829240534705E-094
     17.94326766  0.177712757485240E-099
     17.99766703  0.146123803688882E-104
     18.05206641  0.894053318429433E-110
     18.10646578  0.407040822514311E-115
     18.16086516  0.137891422862795E-120
     18.21526453  0.347579774330714E-126
     18.26966391  0.651903704798577E-132
     18.32406329  0.909742208552519E-138
     18.37846266  0.944612878376436E-144
     18.43286204  0.729768452955845E-150
     18.48726141  0.419476338621099E-156
     18.54166079  0.179397672817973E-162
     18.59606016  0.570833164482736E-169
     18.65045954  0.135139102394401E-175
     18.70485891  0.238028493487248E-182
     18.75925829  0.311924746727922E-189
     18.81365766  0.304117054950179E-196
     18.86805704  0.220596733515905E-203
     18.92245641  0.119048029156724E-210
     18.97685579  0.477977898400980E-218
     19.03125516  0.142775498887197E-225
     19.08565454  0.317291001205861E-233
     19.14005391  0.524587673425194E-241
     19.19445329  0.645257175049211E-249
     19.24885266  0.590473379063156E-257
     19.30325204  0.401993383953451E-265
     19.35765141  0.203604356081813E-273
     19.41205079  0.767190754712478E-282
     19.46645016  0.215063359784493E-290
     19.52084954  0.448512930960528E-299
     19.57524891  0.000000000000000E+000
     19.62964829  0.000000000000000E+000
     19.68404766  0.000000000000000E+000
     19.73844704  0.000000000000000E+000
     19.79284641  0.000000000000000E+000
     19.84724579  0.000000000000000E+000
     19.90164517  0.000000000000000E+000
     19.95604454  0.000000000000000E+000
     20.01044392  0.000000000000000E+000
     20.06484329  0.000000000000000E+000
     20.11924267  0.000000000000000E+000
     20.17364204  0.000000000000000E+000
     20.22804142  0.000000000000000E+000
     20.28244079  0.000000000000000E+000
     20.33684017  0.000000000000000E+000
     20.39123954  0.000000000000000E+000
     20.44563892  0.000000000000000E+000
     20.50003829  0.000000000000000E+000
     20.55443767  0.000000000000000E+000
     20.60883704  0.000000000000000E+000
     20.66323642  0.000000000000000E+000
     20.71763579  0.000000000000000E+000
     20.77203517  0.000000000000000E+000
     20.82643454  0.000000000000000E+000
     20.88083392  0.000000000000000E+000
     20.93523329  0.000000000000000E+000
     20.98963267  0.000000000000000E+000
     21.04403204  0.000000000000000E+000
     21.09843142  0.000000000000000E+000
     21.15283079  0.000000000000000E+000
     21.20723017  0.000000000000000E+000
     21.26162954  0.000000000000000E+000
