# Density of States
# Energy[eV]  DOS[1/eV]
#-----------------------
     -8.16843243  0.148538763898092E-109
     -8.11403305  0.238251839436126E-104
     -8.05963368  0.284273778900907E-099
     -8.00523430  0.252316962570605E-094
     -7.95083493  0.166598561167050E-089
     -7.89643555  0.818311175674405E-085
     -7.84203618  0.299017721845986E-080
     -7.78763680  0.812862607577198E-076
     -7.73323743  0.164396228284421E-071
     -7.67883805  0.247363911052627E-067
     -7.62443868  0.276929373232372E-063
     -7.57003930  0.230681113878233E-059
     -7.51563993  0.142985501909573E-055
     -7.46124055  0.659539626125810E-052
     -7.40684118  0.226410783446642E-048
     -7.35244180  0.578504473782205E-045
     -7.29804242  0.110033512870908E-041
     -7.24364305  0.155818148529546E-038
     -7.18924367  0.164310401516692E-035
     -7.13484430  0.129050766727632E-032
     -7.08044492  0.755122527298796E-030
     -7.02604555  0.329283422517586E-027
     -6.97164617  0.107047739736161E-024
     -6.91724680  0.259555104098970E-022
     -6.86284742  0.469623678425996E-020
     -6.80844805  0.634458282868157E-018
     -6.75404867  0.640472214777263E-016
     -6.69964930  0.483513020370772E-014
     -6.64524992  0.273248604750014E-012
     -6.59085055  0.115733180509956E-010
     -6.53645117  0.367882973536751E-009
     -6.48205180  0.879086479982906E-008
     -6.42765242  0.158231196711994E-006
     -6.37325305  0.215060307153615E-005
     -6.31885367  0.221401817536744E-004
     -6.26445430  0.173335886494071E-003
     -6.21005492  0.103745195407734E-002
     -6.15565555  0.478067703732009E-002
     -6.10125617  0.171247038914176E-001
     -6.04685680  0.483120697396014E-001
     -5.99245742  0.109269569865772E+000
     -5.93805805  0.202866984055819E+000
     -5.88365867  0.318596627027499E+000
     -5.82925929  0.438396355118844E+000
     -5.77485992  0.548132254310244E+000
     -5.72046054  0.643215849921550E+000
     -5.66606117  0.725899236758985E+000
     -5.61166179  0.799629881166499E+000
     -5.55726242  0.866523334966178E+000
     -5.50286304  0.929238181719986E+000
     -5.44846367  0.990084821052357E+000
     -5.39406429  0.104721096934348E+001
     -5.33966492  0.109933434663971E+001
     -5.28526554  0.115177617197589E+001
     -5.23086617  0.120747863546200E+001
     -5.17646679  0.125948678681114E+001
     -5.12206742  0.130303969755302E+001
     -5.06766804  0.134628928540985E+001
     -5.01326867  0.139950034038640E+001
     -4.95886929  0.145735773574975E+001
     -4.90446992  0.150277306145993E+001
     -4.85007054  0.153413025132310E+001
     -4.79567117  0.157358750751224E+001
     -4.74127179  0.163435121408127E+001
     -4.68687242  0.169839033908730E+001
     -4.63247304  0.174294597263421E+001
     -4.57807367  0.177124773033359E+001
     -4.52367429  0.180433598706466E+001
     -4.46927492  0.185760997548777E+001
     -4.41487554  0.193028359830041E+001
     -4.36047617  0.200330649658326E+001
     -4.30607679  0.205049300363336E+001
     -4.25167741  0.206975008507689E+001
     -4.19727804  0.209795371221091E+001
     -4.14287866  0.217146118363506E+001
     -4.08847929  0.227712303860099E+001
     -4.03407991  0.236957654914479E+001
     -3.97968054  0.242938667366747E+001
     -3.92528116  0.247738401776943E+001
     -3.87088179  0.254219540008922E+001
     -3.81648241  0.264263809442469E+001
     -3.76208304  0.279542816739885E+001
     -3.70768366  0.299994016260071E+001
     -3.65328429  0.320502310449004E+001
     -3.59888491  0.333316207762540E+001
     -3.54448554  0.335857568831949E+001
     -3.49008616  0.332935424675264E+001
     -3.43568679  0.330162330458592E+001
     -3.38128741  0.328672674096648E+001
     -3.32688804  0.326831400945864E+001
     -3.27248866  0.322829077797838E+001
     -3.21808929  0.314782912728597E+001
     -3.16368991  0.302591879175797E+001
     -3.10929054  0.289854023584877E+001
     -3.05489116  0.280241140580855E+001
     -3.00049179  0.273667888949653E+001
     -2.94609241  0.268828695347007E+001
     -2.89169304  0.266267873170287E+001
     -2.83729366  0.265747356373704E+001
     -2.78289428  0.262313702438010E+001
     -2.72849491  0.249324316808055E+001
     -2.67409553  0.227290291109762E+001
     -2.61969616  0.206595590677828E+001
     -2.56529678  0.198963470458794E+001
     -2.51089741  0.206475738364631E+001
     -2.45649803  0.218299018519212E+001
     -2.40209866  0.218811952132337E+001
     -2.34769928  0.201050351438496E+001
     -2.29329991  0.171847886481830E+001
     -2.23890053  0.144459101538019E+001
     -2.18450116  0.129309035121845E+001
     -2.13010178  0.129535320353529E+001
     -2.07570241  0.138552280117679E+001
     -2.02130303  0.142220296075079E+001
     -1.96690366  0.129635638598275E+001
     -1.91250428  0.102335666190102E+001
     -1.85810491  0.704384918669059E+000
     -1.80370553  0.432147176912003E+000
     -1.74930616  0.263336788399746E+000
     -1.69490678  0.239287152774983E+000
     -1.64050741  0.383561831307788E+000
     -1.58610803  0.664848593620455E+000
     -1.53170866  0.971647591295100E+000
     -1.47730928  0.116135063731772E+001
     -1.42290991  0.116808926435686E+001
     -1.36851053  0.105604075670131E+001
     -1.31411115  0.962851888742333E+000
     -1.25971178  0.101724846549016E+001
     -1.20531240  0.129959033570357E+001
     -1.15091303  0.179687802481902E+001
     -1.09651365  0.235520386578554E+001
     -1.04211428  0.277810463998679E+001
     -0.98771490  0.305782938191049E+001
     -0.93331553  0.341487429052257E+001
     -0.87891615  0.401561507119686E+001
     -0.82451678  0.472484332550816E+001
     -0.77011740  0.521506963590981E+001
     -0.71571803  0.528175477026608E+001
     -0.66131865  0.498596726846901E+001
     -0.60691928  0.451160257438199E+001
     -0.55251990  0.399192708567243E+001
     -0.49812053  0.349886675334573E+001
     -0.44372115  0.309053018952962E+001
     -0.38932178  0.281189932753169E+001
     -0.33492240  0.267553425300907E+001
     -0.28052303  0.263548787088118E+001
     -0.22612365  0.259934673517734E+001
     -0.17172428  0.252270427439409E+001
     -0.11732490  0.245109489161922E+001
     -0.06292553  0.240637192397163E+001
     -0.00852615  0.230767297770252E+001
      0.04587322  0.209333488778727E+001
      0.10027260  0.185847065811936E+001
      0.15467197  0.176640174772971E+001
      0.20907135  0.183501857813126E+001
      0.26347073  0.190245639838017E+001
      0.31787010  0.183417502183132E+001
      0.37226948  0.169031168079463E+001
      0.42666885  0.162687264373668E+001
      0.48106823  0.167706576313546E+001
      0.53546760  0.170598904074858E+001
      0.58986698  0.158490931084397E+001
      0.64426635  0.135939120644087E+001
      0.69866573  0.120701672925152E+001
      0.75306510  0.124053667563437E+001
      0.80746448  0.138610911928252E+001
      0.86186385  0.146410545117865E+001
      0.91626323  0.137829414154350E+001
      0.97066260  0.120554565337320E+001
      1.02506198  0.109475698673671E+001
      1.07946135  0.111027879783061E+001
      1.13386073  0.118391088505974E+001
      1.18826010  0.119100104128568E+001
      1.24265948  0.107771121762320E+001
      1.29705885  0.924219596595406E+000
